,web-scraper-order,web-scraper-start-url,Products-href,Package Content,Image URL-src,product_name,main_category,product_type,style,fabric_top,fabric_bottom,color,occasion,season,price_pkr,discount,work_details,package_contents,worn_by,fit,shoe_color,shoe_style
10,1751698827-11,https://www.andaazfashion.com/kurti-tunic?p=8,https://www.andaazfashion.com/cream-beige-cotton-printed-short-casual-wear-kurti-lkv004059.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/r/cream-beige-cotton-printed-short-casual-wear-kurti-lkv004059-1.jpg,Cream Beige Cotton Printed Short Casual Wear Kurti,Women,Kurti,Contemporary,Cotton,Cotton,Cream Beige,Casual Wear,Summer,15600,26%,Printed,Top (Kurti),Pakistani Women,One Size,Beige,Sandals
11,1751698832-12,https://www.andaazfashion.com/kurti-tunic?p=8,https://www.andaazfashion.com/black-rayon-embroidered-anarkali-style-kurti-lkv004092.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/l/black-rayon-embroidered-anarkali-style-kurti-lkv004092-1.jpg,Black Rayon Embroidered Anarkali Style Kurti,Women,Anarkali,Traditional,Rayon,Rayon,Pure Black,Casual Wear,All-season,35700,25%,Embroidered,Top (Kurti),Women,One Size,Black,Flats
12,1751698841-13,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/purple-silk-embroidered-a-line-kurti-lkv004101.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/u/purple-silk-embroidered-a-line-kurti-lkv004101-1.jpg,Purple Silk Embroidered A Line Kurti,Women,Kurti,A Line,Silk,Silk,Pure Purple,Festival Wear,All-season,35700,43%,"Resham Work, Thread Work",Top (Kurti),Pakistani Women,One Size,Matching,Sandals
13,1751698846-14,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/cotton-kurti-set-in-dark-grey-colour-lkv0108d.html,,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/o/cotton-kurti-set-in-dark-grey-colour-lkv0108-1.jpg,Cotton Kurti Set In Dark Grey Colour,Pakistani Cloth,Salwar Kameez,Contemporary,Cotton,Cotton,Dark Grey,"Casual, Daily Wear",All-season,22800,72%,,,Pakistani Women,,,
14,1751698849-15,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/burgundy-maroon-poly-crepe-priinted-kurti-lkv00829.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/u/burgundy-maroon-poly-crepe-priinted-kurti-lkv00829-1.jpg,Burgundy Maroon Poly Crepe Printed Kurti,Women,Kurti,Contemporary,Poly Crepe,Poly Crepe,Burgundy Maroon,Festival Wear,All-season,13800,73%,Printed,Top (Kurti),Women,,,
15,1751698854-16,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/dark-brown-rayon-embroidered-kurti-lkv002270.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/a/dark-brown-rayon-embroidered-kurti-lkv002270-1.jpg,Rayon Dark Brown Thread Embroidered Party Wear Kurti,Women,Kurti,Traditional,Rayon,Rayon,Dark Brown,Festival Wear,All-season,71700,72%,"Resham Work, Thread Work, Zari",Top (Kurti),Women,38-42,Brown,Sandals
16,1751698857-17,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/cotton-sea-blue-embroidered-straight-cut-readymade-kurti-lkv003820.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/o/cotton-sea-blue-embroidered-straight-cut-readymade-kurti-lkv003820-1.jpg,Cotton Sea Blue Embroidered Straight Cut Readymade Kurti,Pakistani Cloth,Kurti,Contemporary,Cotton,Cotton,Sea Blue,Casual Wear,Summer,18600,15%,"Lace Work, Embroidery",Top (Kurti),Pakistani Women,32-36,White,Sandals
17,1751698861-18,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/dark-green-cotton-rayon-embroidered-kurti-lkv002567.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/a/dark-green-cotton-rayon-embroidered-kurti-lkv002567-1.jpg,Dark Green Cotton Rayon Embroidered Kurti,Indian Cloth,Kurti,Traditional,Cotton Rayon,Cotton Rayon,Dark Green,Festival Wear,All-season,15600,72%,"Resham Work, Sequins, Thread Work",Top (Kurti),Indian Women,One Size,Matching Green or Gold,Sandals or Flats
18,1751698864-19,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/cotton-dusty-green-embroidered-casual-wear-kurti-lkv003969.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/o/cotton-dusty-green-embroidered-casual-wear-kurti-lkv003969-1.jpg,Cotton Dusty Green Embroidered Casual Wear Kurti,Pakistani Cloth,Kurti,Contemporary,Cotton,Cotton,Dusty Green,Casual Wear,All-season,27600,43%,"Resham Work, Sequins Work, Thread Work",Top (Kurti),Pakistani Women,One Size,Any color,Flats
19,1751698873-21,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/coral-pink-cotton-printed-ankle-length-kurti-lkv003831.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/o/coral-pink-cotton-printed-ankle-length-kurti-lkv003831-1.jpg,Coral Pink Cotton Printed Ankle Length Kurti,Pakistani Cloth,Kurti,Contemporary,Cotton,Cotton,Coral Pink,Casual Wear,Summer,23700,17%,"Lace Work, Printed",Top (Kurti),Pakistani Women,One Size,Any color,Sandals or Flats
20,1751698876-22,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/sky-blue-cotton-anarkali-style-printed-kurti-lkv003827.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/k/sky-blue-cotton-anarkali-style-printed-kurti-lkv003827-1.jpg,Sky Blue Cotton Anarkali Style Printed Kurti,Women,Anarkali,Contemporary,Cotton,Cotton,Sky Blue,Casual Wear,Summer,19800,43%,"Gota Patti Work, Lace Work, Printed, Foil Print",Top (Kurti),Women,One Size,White,Sandals
21,1751698882-23,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/coral-pink-cotton-printed-kurti-lkv001096.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/o/coral-pink-cotton-printed-kurti-lkv001096-1.jpg,Coral Pink Casual Wear Sequins Embroidered Kurti in Cotton,Indian Cloth,Kurti,Fancy,Cotton,Cotton,Coral Pink,Festival Wear,Summer,15600,39%,"Beads Work, Cutdana Work, Sequins, Printed, Foil Print",Top (Kurti),Indian Women,One Size,Gold,Sandals
22,1751698886-24,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/chinnon-punch-pink-bandhej-printed-kurti-lkv003016.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/h/chinnon-punch-pink-bandhej-printed-kurti-lkv003016-1.jpg,Chinnon Punch Pink Bandhej Printed Kurti,Pakistani Cloth,Kurti,Traditional,Sangeet,Sangeet,Punch Pink,Sangeet,All-season,19800,43%,"Resham Work, Sequins Work, Thread Work, Bandhej Print, Printed",Top (Kurti),Pakistani Women,,,
23,1751698889-25,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/fern-green-cotton-printed-short-casual-wear-kurti-lkv004069.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/f/e/fern-green-cotton-printed-short-casual-wear-kurti-lkv004069-1.jpg,Fern Green Cotton Printed Short Casual Wear Kurti,Indian Cloth,Kurti,Contemporary,Cotton,Cotton,Fern Green,Casual Wear,Summer,17700,27%,Printed,Top (Kurti),Indian Women,One Size,Any,Sandals
24,1751698894-26,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/coral-pink-cotton-printed-short-casual-wear-kurti-lkv004067.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/o/coral-pink-cotton-printed-short-casual-wear-kurti-lkv004067-1.jpg,Coral Pink Cotton Printed Short Casual Wear Kurti,Indian Cloth,Kurti,Contemporary,Cotton,Cotton,Coral Pink,Casual Wear,Summer,20400,14%,Printed,Top (Kurti),Indian Women,One Size,Any,Sandals
25,1751698897-27,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/pear-green-cotton-printed-short-casual-wear-kurti-lkv004060.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/e/pear-green-cotton-printed-short-casual-wear-kurti-lkv004060-1.jpg,Pear Green Cotton Printed Short Casual Wear Kurti,Women,Kurti,Contemporary,Cotton,Cotton,Pear Green,Casual Wear,Summer,15600,43%,Printed,Top (Kurti),Pakistani Women,One Size,Any color,Sandals or Flats
26,1751698902-28,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/sky-blue-cotton-printed-short-casual-wear-kurti-lkv004062.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/k/sky-blue-cotton-printed-short-casual-wear-kurti-lkv004062-1.jpg,Sky Blue Cotton Printed Short Casual Wear Kurti,Indian Cloth,Kurti,Contemporary,Cotton,Cotton,Sky Blue,Casual Wear,Summer,15600,43%,"Printed, Foil Print",Top (Kurti),Indian Women,One Size,White,Sandals
27,1751698908-29,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/salmon-orange-rayon-embroidered-anarkali-style-kurti-lkv004094.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/a/salmon-orange-rayon-embroidered-anarkali-style-kurti-lkv004094-1.jpg,Salmon Orange Rayon Embroidered Anarkali Style Kurti,Women,Anarkali,Traditional,Rayon,Rayon,Salmon Orange,Casual Wear,All-season,35700,43%,Embroidered,Top (Kurti),Women,,,
28,1751698914-30,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/pink-rayon-embroidered-anarkali-style-kurti-lkv004093.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/i/pink-rayon-embroidered-anarkali-style-kurti-lkv004093-1.jpg,Pink Rayon Embroidered Anarkali Style Kurti,Women,Anarkali,Traditional,Rayon,Rayon,Pure Pink,Casual Wear,All-season,35700,11%,Embroidered,Top (Kurti),Women,,,
29,1751698919-31,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/orange-dupion-silk-embroidered-cigarette-pant-kurti-lkv004106.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/o/r/orange-dupion-silk-embroidered-cigarette-pant-kurti-lkv004106-1.jpg,Orange Dupion Silk Embroidered Cigarette Pant Kurti,Indian Cloth,Salwar Kameez,Heavy Work,Dupion Silk,Dupion Silk,Pure Orange,Festival Wear,All-season,39900,10%,"Resham Work, Thread Work",Top (Kurti),Women,One Size,Matching,Sandals
30,1751698923-32,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/pure-bamberg-silk-multi-color-palazzo-style-long-kurti-4087.html,,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/e/desig-no-4087-long-kurti-with-pallazzo-pant-front.jpg,Pure Bamberg Silk Multi Color Palazzo Style Long Kurti,Indian Cloth,Kurti,Contemporary,Bamberg Silk,Bamberg Silk,Multi Color,"Casual, Party, Festive",All-season,39900,21%,,,Indian Women,,,
31,1751698926-33,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/rayon-kurti-in-bottle-green-color-lkv0344.html,,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/r/a/rayon-kurti-in-bottle-green-color-lkv0344.jpg,Rayon Kurti In Bottle Green Color,Indian Cloth,Kurti,Contemporary,Rayon,Rayon,Bottle Green,"Casual, Daily Wear",All-season,21600,51%,,,Indian Women,,,
32,1751698943-34,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/rayon-kurti-in-pistachio-green-color-lkv0340.html,,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/r/a/rayon-kurti-in-pistachio-green-color-lkv0340.jpg,Rayon Kurti In Pistachio Green Color,Pakistani Cloth,Kurti,Contemporary,Rayon,Rayon,Pistachio Green,"Casual, Daily Wear",Summer,21600,51%,,,Pakistani Women,,,
33,1751699005-35,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/charcoal-grey-rayon-embroidered-straight-cut-casual-wear-kurti-lkv003636.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/h/charcoal-grey-rayon-embroidered-straight-cut-casual-wear-kurti-lkv003636-1.jpg,Charcoal Grey Rayon Embroidered Straight Cut Casual Wear Kurti,Indian Cloth,Kurti,Traditional,Rayon,Rayon,Charcoal Grey,Casual Wear,All-season,15600,43%,"Resham Work, Thread Work",Top (Kurti),Indian Women,One Size,Black,Flats
34,1751699013-36,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/salmon-peach-cotton-front-slit-casual-wear-kurti-lkv003805.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/a/salmon-peach-cotton-front-slit-casual-wear-kurti-lkv003805-1.jpg,Salmon Peach Cotton Front Slit Casual Wear Kurti,Indian Cloth,Kurti,Contemporary,Cotton,Cotton,Salmon Peach,Casual Wear,Summer,15600,43%,Weaved Thread Work,Top (Kurti),Indian Women,One Size,Neutral,Sandals
35,1751699019-37,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/printed-poly-crepe-turmeric-yellow-kurti-lkv00834.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/r/printed-poly-crepe-turmeric-yellow-kurti-lkv00834-1.jpg,Printed Poly Crepe Turmeric Yellow Kurti,Women,Salwar Kameez,Contemporary,Poly Crepe,Poly Crepe,Turmeric Yellow,Festival Wear,Summer,13800,73%,Printed,Top (Kurti),Pakistani Women,36-42,Yellow,Sandals
36,1751699025-38,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/dark-brown-rayon-embroidered-kurti-lkv002281.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/a/dark-brown-rayon-embroidered-kurti-lkv002281-1.jpg,Dark Brown Rayon Frock Style Kurti with Zari embroidery,Pakistani Cloth,Salwar Kameez,Heavy Work,Rayon,Rayon,Dark Brown,Festival Wear,All-season,71700,72%,"Resham Work, Thread Work, Zari",Top (Kurti),Pakistani Women,"40, 42, 44",Brown,Sandals
37,1751699067-39,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/pale-yellow-cotton-printed-short-cotton-kurti-lkv004009.html,Package :Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/a/pale-yellow-cotton-printed-short-cotton-kurti-lkv004009-1.jpg,Pale Yellow Cotton Printed Short Cotton Kurti,Women,Kurti,Contemporary,Cotton,Cotton,Pale Yellow,Casual Wear,Summer,19800,26%,"Lace Work, Printed",Top (Kurti),Women,,,
38,1751699083-40,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/resham-work-embroidered-cotton-rayon-pistachio-green-kurti-lkv002569.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/r/e/resham-work-embroidered-cotton-rayon-pistachio-green-kurti-lkv002569-1.jpg,Resham Work Embroidered Cotton Rayon Pistachio Green Kurti,Pakistani Cloth,Kurti,Traditional,Cotton Rayon,Cotton Rayon,Pistachio Green,Festival Wear,All-season,15600,72%,"Resham Work, Sequins, Thread Work",Top (Kurti),Pakistani Women,One Size,Brown,Sandals
39,1751699097-41,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/black-poly-crepe-printed-kurti-lkv00830.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/l/black-poly-crepe-printed-kurti-lkv00830-1.jpg,Party Wear Printed Kurti in Poly Crepe Black,Women,Kurti,Printed,Poly Crepe,Poly Crepe,Pure Black,Festival Wear,All-season,13800,73%,Printed,Top (Kurti),Women,36-42,Black,Sandals
40,1751699108-42,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/bluish-grey-cotton-printed-kurti-lkv001091.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/l/bluish-grey-cotton-printed-kurti-lkv001091-1.jpg,Bluish Grey Cotton Printed Kurti,Pakistani Cloth,Kurti,Contemporary,Cotton,Cotton,Bluish Grey,Festival Wear,All-season,56400,72%,"Beads Work, Lace, Resham Work, Thread Work, Zari, Printed, Foil Print",Top (Kurti),Pakistani Women,,,
41,1751699114-43,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/dusty-pink-cotton-printed-kurti-lkv001090.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/u/dusty-pink-cotton-printed-kurti-lkv001090-1.jpg,Kurti in Dusty Pink Cotton for Party Wear with Thread Embroidery,Women,Salwar Kameez,Traditional,Cotton,Cotton,Dusty Pink,"Party Wear, Festival Wear",All-season,15600,72%,"Beads Work, Lace, Resham Work, Thread Work, Zari, Printed, Foil Print",Top (Kurti),Pakistani Women,One size fits most,Matching or Neutral,Sandals or Flats
42,1751699151-46,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/brick-red-poly-crepe-printed-kurti-lkv00827.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/r/brick-red-poly-crepe-printed-kurti-lkv00827-1.jpg,Kurti for Party Wear in Poly Crepe Brick Red with Printed,Women,Kurti,Contemporary,Poly Crepe,Poly Crepe,Brick Red,Festival Wear,All-season,13800,73%,Printed,Top (Kurti),Women,,,
43,1751699162-47,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/weaved-thread-dusty-blue-cotton-casual-wear-kurti-lkv003978.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/w/e/weaved-thread-dusty-blue-cotton-casual-wear-kurti-lkv003978-1.jpg,Weaved Thread Dusty Blue Cotton Casual Wear Kurti,Pakistani Cloth,Kurti,Contemporary,Cotton,Cotton,Dusty Blue,Casual Wear,All-season,23400,43%,"Resham Work, Sequins Work, Thread Work, Weaved Thread Work",Top (Kurti),Pakistani Women,One size fits most,Any color,Sandals or flats
44,1751699167-48,https://www.andaazfashion.com/kurti-tunic?p=7,https://www.andaazfashion.com/cotton-navy-blue-embroidered-casual-wear-kurti-lkv003957.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/o/cotton-navy-blue-embroidered-casual-wear-kurti-lkv003957-1.jpg,Cotton Navy Blue Embroidered Casual Wear Kurti,Pakistani Cloth,Kurti,Contemporary,Cotton,Cotton,Navy Blue,Casual Wear,All-season,23400,43%,"Pearl Work, Resham Work, Thread Work",Top (Kurti),Pakistani Women,One Size,Matching,Sandals
