,web-scraper-order,web-scraper-start-url,Products-href,Package Content,Image URL-src,product_name,main_category,product_type,style,fabric_top,fabric_bottom,color,occasion,season,price_pkr,discount,work_details,package_contents,worn_by,fit,shoe_color,shoe_style
23,1751677377-27,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/silk-anarkali-suit-in-plum-purple-color-lstv04158.html,"Zari Work, Stone Work",https://assets2.andaazfashion.com/media/catalog/product/s/i/silk-anarkali-suit-in-plum-purple-color-1-lstv04158_1.jpg,Silk Wedding Anarkali Suit In Plum Purple Color,Women,Anarkali,Traditional,Silk,Santoon,Plum Purple,"Festival Wear, Party Wear, Wedding Wear",All-season,51900,27%,"Zari Work, Stone Work","Zari Work, Stone Work",Women,,,
24,1751677392-29,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/dark-blue-silk-anarkali-gown-with-resham-work-lstv04068.html,"Resham Work, Zari Work, Stone Work",https://assets2.andaazfashion.com/media/catalog/product/d/a/dark-blue-silk-anarkali-gown-with-resham-work-lstv04068-1_1.jpg,Dark Blue Silk Anarkali Gown With Resham Work,Women,Anarkali,Traditional,Silk,Santoon/Lycra,Dark Blue,"Festival Wear, Guest Of Wedding Wear, Party Wear, Wedding Wear",All-season,54000,72%,"Resham Work, Zari Work, Stone Work","Resham Work, Zari Work, Stone Work",Women,One size fits most,Matching color,Heels or sandals
25,1751677401-30,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/red-resham-faux-georgette-anarkali-suit-lstv01960.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/r/e/red-resham-faux-georgette-anarkali-suit-1-lstv01960.jpg,Carrot Pink Resham Faux Georgette Anarkali Suit,Women,Anarkali,Traditional,Faux Georgette,Santoon,Carrot Pink,"Festival Wear, Party Wear, New Year, Karva Chauth",All-season,51600,43%,"Resham Work, Zari Work, Hand Work, Embroidered Work","Top (Included Lining), Bottom and Scarf",Women,"40, 32-38",Matching,Heels
26,1751677412-31,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/black-georgette-anarkali-suit-with-dupatta-dmv13966.html,Black,https://assets2.andaazfashion.com/media/catalog/product/d/e/design-no-dmv13966-anarkali-collection-front.jpg,Black Georgette Anarkali Suit With Dupatta,Women,Anarkali,Traditional,Georgette,Georgette,Black,Black,All-season,61800,43%,Georgette,Black,Women,"34,36,38,40,42",Black,Heels
27,1751677422-32,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/blue-silk-embroidered-anarkali-suit-lstv01584.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/b/l/blue-anarkali-suit-1-lstv01584.jpg,Blue Silk Embroidered Anarkali Suit,Women,Anarkali,Heavy Work,Silk,Santoon,Blue,"Festival Wear, Wedding Wear, Party Wear, Diwali, New Year, Eid, Navratri Dresses, Gur Purab, Lohri",All-season,80100,21%,"Resham Work, Stone Work, Hand Work, Embroidered Work","Top (Included Lining), Bottom and Scarf",Women,,,
28,1751677431-33,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/purple-chanderi-digital-print-party-wear-anarkali-suit-lstv112179.html,Digital Print,https://assets2.andaazfashion.com/media/catalog/product/p/u/purple-chanderi-digital-print-party-wear-anarkali-suit-lstv112179-1.jpg,Purple Chanderi Digital Print Party Wear Anarkali Suit,Women,Anarkali,Contemporary,Chanderi,Lycra,Purple,"Party Wear, Festival Wear",All-season,43800,43%,Digital Print,Digital Print,Women,,,
29,1751677439-34,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/dori-embroidered-net-anarkali-suit-in-mauve-colour-lstv03738.html,Aari Work,https://assets2.andaazfashion.com/media/catalog/product/d/o/dori-embroidered-net-anarkali-suit-in-mauve-colour-lstv03738-1.jpg,Dori Work Embroidered Net Anarkali Suit In Mauve Colour,Women,Anarkali,Traditional,Net,Santoon/Lycra,Mauve,"Festival Wear, Guest Of Wedding Wear, Party Wear, Wedding Wear",All-season,39900,26%,Aari Work,Aari Work,Women,,,
30,1751677447-35,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/mauve-pink-chanderi-party-wear-anarkali-suit-lstv112180.html,Digital Print,https://assets2.andaazfashion.com/media/catalog/product/m/a/mauve-pink-chanderi-party-wear-anarkali-suit-lstv112180-1.jpg,Mauve Pink Chanderi Party Wear Anarkali Suit,Women,Anarkali,Traditional,Chanderi,Lycra,Mauve Pink,"Party Wear, Festival Wear",All-season,43800,17%,Digital Print,Digital Print,Women,,,
31,1751677458-36,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/cherry-red-net-anarkali-suit-with-resham-work-lstv04539.html,"Resham Work, Zari Work, Stone Work",https://assets2.andaazfashion.com/media/catalog/product/c/h/cherry-red-net-anarkali-suit-with-resham-work-1-lstv04539_1.jpg,Cherry Red Resham Embroidered Net Long Choli Anarkali Suit,Women,Anarkali,Traditional,Net,Net,Cherry Red,"Bridesmaid Wear, Festival Wear, Party Wear, Wedding Wear",All-season,66000,23%,"Resham Work, Zari Work, Stone Work","Resham Work, Zari Work, Stone Work",Women,40-42,Gold,Heels
32,1751677467-37,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/grey-georgette-anarkali-suit-lstv01800.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/g/r/grey-anarkali-suit-1-lstv01800_1.jpg,Grey Georgette Anarkali Suit with Blue Net Dupatta,Women,Anarkali,Heavy Work,Georgette,Santoon,Grey,"Festival Wear, Wedding Wear, Party Wear, Diwali, New Year, Eid, Karva Chauth, Sangeet",All-season,63900,43%,"Resham Work, Crystal Work, Beads Work, Hand Work, Sequins Work, Embroidered Work","Top (Included Lining), Bottom and Scarf",Women,40-42,Blue,Heels
33,1751677475-38,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/pastel-pink-chanderi-printed-party-wear-anarkali-suit-lstv112176.html,Digital Print,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/a/pastel-pink-chanderi-printed-party-wear-anarkali-suit-lstv112176-1.jpg,Pastel Pink Chanderi Printed Party Wear Anarkali Suit,Women,Anarkali,Traditional,Chanderi,Lycra,Pastel Pink,"Party Wear, Festival Wear",All-season,39900,21%,Digital Print,Digital Print,Women,,,
34,1751677483-39,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/plum-purple-net-anarkali-suit-with-zari-work-lstv03305.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/p/l/plum-purple-net-anarkali-suit-with-zari-work-1-lstv03305.jpg,Plum Purple Net Wedding Anarkali Suit With Zari Work,Women,Anarkali,Heavy Work,Net,Santoon,Plum Purple,"Bridal Wear, Wedding Wear, Party Wear",All-season,120300,43%,"Zari Work, Stone Work","Top (Included Lining), Bottom and Scarf",Women,"40, 35-45",Silver,Heels
35,1751677489-40,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/georgette-desertsand-brown-anarkali-suit-lstv01804.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/e/beige-anarkali-suit-1-lstv01804.jpg,Georgette Desertsand Beige Color Anarkali Suit,Women,Anarkali,Heavy Work,Georgette,Lycra,Desertsand Beige,"Festival Wear, Wedding Wear, Party Wear",All-season,54000,43%,"Crystal Work, Hand Work, Sequins Work, Embroidered Work","Top (Included Lining), Bottom and Scarf",Women,40-42,Gold,Heels
36,1751677498-41,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/teal-blue-silk-anarkali-suit-with-zari-work-lstv04159.html,"Zari Work, Stone Work",https://assets2.andaazfashion.com/media/catalog/product/t/e/teal-blue-silk-anarkali-suit-with-zari-work-1-lstv04159.jpg,Teal Blue Silk Anarkali Suit with Zari Work,Women,Anarkali,Traditional,Silk,Santoon,Teal Blue,"Festival Wear, Party Wear, Wedding Wear",All-season,60600,72%,"Zari Work, Stone Work","Zari Work, Stone Work",Women,40-42,Gold,Heels
37,1751677504-42,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/anarkali-suit-in-beige-color-lstv01799.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/e/beige-anarkali-suit-1-lstv01799.jpg,Beige Embroidered Anarkali Gown with Maroon Net Dupatta,Women,Anarkali,Heavy Work,Georgette,Santoon,Beige,"Festival Wear, Wedding Wear, Party Wear, New Year, Eid, Sangeet",All-season,67800,43%,"Resham Work, Crystal Work, Hand Work, Kundan Work","Top (Included Lining), Bottom and Scarf",Women,,,
38,1751677511-43,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/gorgeous-georgette-anarkali-suit-in-black-color-lstv01061.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/b/l/black-anarkali-suit-1-lstv01061.jpg,Gorgeous Georgette Anarkali Suit In Black Color,Women,Anarkali,Traditional,Georgette,Santoon,Black,"Festival Wear, Party Wear, Diwali, New Year, Eid, Karva Chauth, Navratri Dresses, Sangeet, Mehndi, Gur Purab, Lohri, Valentine",All-season,41700,27%,"Resham Work, Beads Work, Hand Work, Thread Work, Embroidered Work","Top (Included Lining), Bottom and Scarf",Women,,,
39,1751677520-44,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/anarkali-suit-in-green-color-with-crystal-embroidered-lstv01785.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/g/r/green-anarkali-suit-1-lstv01785.jpg,Anarkali Suit In Green Color With Zari Embroidered,Women,Anarkali,Heavy Work,Georgette,Santoon,Green,"Festival Wear, Wedding Wear, Party Wear, Sangeet, Mehndi",All-season,77400,23%,"Crystal Work, Stone Work, Beads Work, Hand Work, Sequins Work, Embroidered Work","Top (Included Lining), Bottom and Scarf",Women,,,
40,1751677541-45,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/beige-art-silk-floor-length-anarkali-suit-lstv110814.html,"Resham Work, Stone Work",https://assets2.andaazfashion.com/media/catalog/product/b/e/beige-art-silk-floor-length-anarkali-suit-lstv110814-1.jpg,Beige Art Silk Floor Length Anarkali Suit,Women,Anarkali,Traditional,Art Silk,Santoon,Beige,"Party Wear, Bridesmaid Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,39900,28%,"Resham Work, Stone Work","Resham Work, Stone Work",Women,"40, 42, 44","Gold, Beige","Heels, Sandals"
41,1751677551-46,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/blue-orange-georgette-churidar-suits-dmv13454.html,"Top (Included Lining), Bottom & Dupatta",https://assets2.andaazfashion.com/media/catalog/product/d/e/design-no-dmv13454-anarkali-churidar-suits-front.jpg,Blue Orange Georgette Churidar Suit with Chiffon Dupatta,Pakistani Cloth,Salwar Kameez,Contemporary,Georgette,Georgette,Blue Orange,Salwar Kameez,All-season,39900,43%,Georgette,"Top (Included Lining), Bottom & Dupatta",Pakistani Women,"40, 32-36",Matching Blue or Orange,Sandals or Heels
42,1751677557-47,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/peach-georgette-anarkali-suit-with-zircon-work-lstv01794.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/e/peach-anarkali-suit-1-lstv01794.jpg,Peach Georgette Anarkali Suit With Zircon Work,Women,Anarkali,Heavy Work,Georgette,Santoon,Peach,"Festival Wear, Party Wear, Navratri Dresses, Sangeet",All-season,55800,21%,"Zircon Work, Stone Work, Hand Work, Sequins Work, Kundan Work, Thread Work","Top (Included Lining), Bottom and Scarf",Women,,,
