,web-scraper-order,web-scraper-start-url,Products-href,Style,Festival ,Image URL-src,product_name,main_category,product_type,style,fabric_top,fabric_bottom,color,occasion,season,price_pkr,discount,work_details,package_contents,worn_by,fit,shoe_color,shoe_style
19,1751700007-21,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/plain-bangalori-silk-light-grey-men-kurta-dhoti-mkpa0338.html,Straight Cut,Grey,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-bangalori-silk-light-grey-men-kurta-dhoti-mkpa0338-1.jpg,Plain Bangalori Silk Light Grey Men Kurta Dhoti,Men,Trouser Suit,Traditional,Silk,Silk,Light Grey,Festival,All-season,33900,21%,Plain,Top (Kurta) & Bottom (Pajama),Men,,,
20,1751700026-22,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/plain-bangalori-silk-black-men-kurta-dhoti-mkpa0336.html,Straight Cut,Black,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-bangalori-silk-black-men-kurta-dhoti-mkpa0336-1.jpg,Plain Bangalori Silk Black Men Kurta Dhoti,Men,Trouser Suit,Traditional,Silk,Silk,Black,Festival,All-season,33900,19%,Plain,Top (Kurta) & Bottom (Pajama),Men,,,
21,1751700035-23,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/black-bangalori-silk-men-kurta-dhoti-mkpa0345.html,Straight Cut,Black,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/l/black-bangalori-silk-men-kurta-dhoti-mkpa0345-1.jpg,Black Bangalori Silk Men Kurta Dhoti,Men,Trouser Suit,Traditional,Silk,Silk,Black,Festival,All-season,33900,43%,None,Top (Kurta) & Bottom (Pajama),Men,Unknown,Black,Traditional
22,1751700038-24,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/plain-blue-bangalori-silk-men-kurta-dhoti-mkpa0343.html,Straight Cut,Blue,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-blue-bangalori-silk-men-kurta-dhoti-mkpa0343-1.jpg,Plain Blue Bangalori Silk Men Kurta Dhoti,Men,Kurta Dhoti,Straight Cut,Silk,Silk,Blue,Festival,All-season,33900,43%,Plain,Top (Kurta) & Bottom (Pajama),Men,,,
23,1751700043-25,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/plain-cherry-red-bangalori-silk-men-kurta-dhoti-mkpa0332.html,Straight Cut,Red,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-cherry-red-bangalori-silk-men-kurta-dhoti-mkpa0332-1.jpg,Plain Cherry Red Bangalori Silk Men Kurta Dhoti,Men,Trouser Suit,Traditional,Silk,Silk,Cherry Red,Festival,All-season,33900,43%,Plain,Top (Kurta) & Bottom (Pajama),Men,,,
24,1751700048-26,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/plain-bangalori-silk-cherry-red-men-kurta-dhoti-mkpa0331.html,Straight Cut,Red,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-bangalori-silk-cherry-red-men-kurta-dhoti-mkpa0331-1.jpg,Plain Bangalori Silk Cherry Red Men Kurta Dhoti,Men,Trouser Suit,Traditional,Silk,Silk,Cherry Red,Festival,All-season,33900,43%,Plain,Top (Kurta) & Bottom (Pajama),Men,,,
25,1751700055-27,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/plain-bangalori-silk-brown-men-kurta-dhoti-mkpa0342.html,Straight Cut,Brown,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-bangalori-silk-brown-men-kurta-dhoti-mkpa0342-1.jpg,Plain Bangalori Silk Brown Men Kurta Dhoti,Men,Trouser Suit,Traditional,Silk,Silk,Brown,Festival,All-season,33900,43%,Plain,Top (Kurta) & Bottom (Pajama),Men,,,
26,1751700062-28,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/cream-beige-bangalori-silk-plain-men-kurta-pajama-mkpa0340.html,Straight Cut,Beige,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/r/cream-beige-bangalori-silk-plain-men-kurta-pajama-mkpa0340-1.jpg,Cream Beige Bangalori Silk Plain Men Kurta Pajama,Men,Kurta Pajama,Straight Cut,Silk,Silk,Cream Beige,Festival,All-season,33900,43%,Plain,,Men,,,
27,1751700069-29,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/plain-white-bangalori-silk-men-kurta-dhoti-mkpa0335.html,Festival,Silk,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-white-bangalori-silk-men-kurta-dhoti-mkpa0335-1.jpg,Plain White Bangalori Silk Men's Dhoti Kurta,Men,Trouser Suit,Festival,Silk,Silk,White,Festival,All-season,33900,19%,Plain,,Men,,,
28,1751700088-30,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/plain-bangalori-silk-white-men-kurta-dhoti-mkpa0328.html,Straight Cut,White,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-bangalori-silk-white-men-kurta-dhoti-mkpa0328-1.jpg,Plain Bangalori Silk White Men Kurta Dhoti,Men,Kurta Dhoti,Straight Cut,Silk,Silk,White,Festival,All-season,33900,43%,Plain,Top (Kurta) & Bottom (Pajama),Men,One size fits most,Any color,Traditional sandals or mojaris
29,1751700102-31,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/white-bangalori-silk-men-kurta-dhoti-mkpa0330.html,Straight Cut,White,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/w/h/white-bangalori-silk-men-kurta-dhoti-mkpa0330-1.jpg,White Bangalori Silk Men Kurta Dhoti,Men,Kurta Dhoti,Straight Cut,Silk,Silk,White,Festival,All-season,33900,43%,,Top (Kurta) & Bottom (Pajama),Men,,,
30,1751700106-32,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/plain-bangalori-silk-white-men-kurta-dhoti-mkpa0329.html,Straight Cut,White,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-bangalori-silk-white-men-kurta-dhoti-mkpa0329-1.jpg,Plain Bangalori Silk White Men's Dhoti Kurta,Men,Trouser Suit,Traditional,Silk,Silk,White,Festival,All-season,33900,26%,Plain,Top (Kurta) & Bottom (Pajama),Men,,,
31,1751700110-33,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/plain-cherry-red-bangalori-silk-men-kurta-dhoti-mkpa0324.html,Straight Cut,Red,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-cherry-red-bangalori-silk-men-kurta-dhoti-mkpa0324-1.jpg,Plain Cherry Red Bangalori Silk Men Sherwani With Dhoti,Men,Sherwani,Traditional,Silk,Silk,Cherry Red,Festival,All-season,33900,43%,Plain,Top (Kurta) & Bottom (Pajama),Men,,,
32,1751700120-34,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/plain-white-bangalori-silk-men-kurta-dhoti-mkpa0326.html,Straight Cut,White,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-white-bangalori-silk-men-kurta-dhoti-mkpa0326-1.jpg,Plain White Bangalori Silk Men Kurta Dhoti,Indian Cloth,Trouser Suit,Traditional,Silk,Silk,White,Festival,All-season,33900,43%,Plain,Top (Kurta) & Bottom (Pajama),Men,40-44,White,Traditional
33,1751700138-35,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/plain-white-bangalori-silk-men-kurta-dhoti-mkpa0325.html,Straight Cut,White,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-white-bangalori-silk-men-kurta-dhoti-mkpa0325-1.jpg,Plain White Bangalori Silk Kurta with Dhoti,Indian Cloth,Salwar Kameez,Traditional,Silk,Silk,White,Festival,All-season,33900,43%,Plain,Top (Kurta) & Bottom (Pajama),Men,,,
34,1751700159-36,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/dark-green-silk-straight-cut-men-kurta-pajama-mkpa03250.html,Indo-Western,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/a/dark-green-silk-straight-cut-men-kurta-pajama-mkpa03250-1.jpg,Dark Green Silk Straight Cut Men Kurta Pajama,Men,Kurta Pajama,Indo-Western,Silk,Silk,Dark Green,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,45900,43%,"Resham Work, Thread Work",Top (Kurta) & Bottom (Pajama),Men,"42, 44, 36-40",Brown,Traditional
35,1751700163-37,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/navy-blue-satin-embroidered-men-kurta-pajama-mkpa03223.html,Straight Cut,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/n/a/navy-blue-satin-embroidered-men-kurta-pajama-mkpa03223-1.jpg,Navy Blue Satin Embroidered Men Kurta Pajama,Pakistani Cloth,Salwar Kameez,Traditional,Satin,Art Silk,Navy Blue,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,45900,43%,"Resham Work, Thread Work",Top (Kurta) & Bottom (Pajama),Pakistani Men,"42, 44, 38-42",Black,Traditional Sandals
36,1751700168-38,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/deep-red-silk-straight-cut-men-kurta-pajama-mkpa03240.html,Indo-Western,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/e/deep-red-silk-straight-cut-men-kurta-pajama-mkpa03240-1.jpg,Deep Red Silk Straight Cut Men Kurta Pajama,Men,Kurta Pajama,Indo-Western,Silk,Silk,Deep Red,"Wedding Wear, Guest of Wedding Wear, Festival Wear",All-season,45900,25%,"Resham Work, Thread Work",Top (Kurta) & Bottom (Pajama),Men,"40, 42, 44",Black,Traditional
37,1751700180-40,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/woven-jacquard-sage-green-men-kurta-pajama-mkpa03248.html,Indo-Western,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/w/o/woven-jacquard-sage-green-men-kurta-pajama-mkpa03248-1.jpg,Woven Jacquard Sage Green Men Kurta Pajama,Men,Kurta Pajama,Indo-Western,Jacquard,Silk,Sage Green,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,43800,18%,Woven,Top (Kurta) & Bottom (Pajama),Men,Regular Fit,Brown,Traditional
38,1751700183-41,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/dark-grey-jacquard-men-kurta-pajama-mkpa03242.html,Straight Cut,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/a/dark-grey-jacquard-men-kurta-pajama-mkpa03242-1.jpg,Dark Grey Jacquard Men Kurta Pajama,Men,Kurta Pajama,Straight Cut,Jacquard,Silk,Dark Grey,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,45900,43%,"Woven, Printed",Top (Kurta) & Bottom (Pajama),Men,"42, 38-40",Black,Traditional
39,1751700187-42,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/pale-yellow-silk-embroidered-men-kurta-pajama-mkpa03205.html,Straight Cut,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/a/pale-yellow-silk-embroidered-men-kurta-pajama-mkpa03205-1.jpg,Pale Yellow Silk Embroidered Men Kurta Pajama,Men,Kurta Pajama,Straight Cut,Silk,Art Silk,Pale Yellow,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,45900,43%,"Resham Work, Thread Work",Top (Kurta) & Bottom (Pajama),Men,"42, 44, 46",Brown,Traditional
