,product_name,main_category,Category Style,categorize_outfit,occasion,season,Gender,fit_type,fabric,work_details,color_category,shoe_color,shoe_style,price_pkr,discount,Image URL-src,Products-href,web-scraper-start-url
12,Cream Embroidered Silk Blend Men's Kurta Pajama For Festival,Men's Ethnic Wear,Traditional,Kurta Set,Wedding/Formal,Winter,Male,Single Size,Silk,"Mirror Work, Resham Work, Thread Work",White & Off‑Whites,Brown,Traditional,44700,43.0,https://assets2.andaazfashion.com/media/catalog/product/c/r/cream-embroidered-silk-blend-mens-kurta-pajama-for-festival-mkpa09036-1.jpg,https://www.andaazfashion.co.uk/cream-embroidered-silk-blend-mens-kurta-pajama-for-festival-mkpa09036.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=88
13,Indo-Western Maroon Foil Print Cotton Silk Men's Sherwani,Men's Ethnic Wear,Contemporary,Sherwani,Wedding/Formal,Summer,Male,Single Size,Cotton,Foil Print,Reds,Black,Traditional,29700,27.0,https://assets2.andaazfashion.com/media/catalog/product/i/n/indo-western-maroon-foil-print-cotton-silk-mens-sherwani-mstv02804-1.jpg,https://www.andaazfashion.co.uk/indo-western-maroon-foil-print-cotton-silk-mens-sherwani-mstv02804.html,https://www.andaazfashion.co.uk/men/sherwani?p=19
14,Wine Maroon Dupion Silk Men Kurta Pajama,Men's Ethnic Wear,Contemporary,Kurta Set,Wedding/Formal,Winter,Male,Single Size,Silk,Plain,Reds,Black,Traditional,19200,43.0,https://assets2.andaazfashion.com/media/catalog/product/w/i/wine-maroon-dupion-silk-men-kurta-pajama-mkpa04183-1.jpg,https://www.andaazfashion.co.uk/wine-maroon-dupion-silk-men-kurta-pajama-mkpa04183.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=21
15,Cream Beige Silk Blend Embroidered Jacket Style Men's Sherwani,Men's Ethnic Wear,Fancy,Sherwani,Wedding/Formal,Winter,Male,Single Size,Silk,"Cutdana Work, Pearl Work, Resham Work, Sequins Work, Thread Work, Zari Work",White & Off‑Whites,"Cream, Beige",Traditional,128700,35.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/r/cream-beige-silk-blend-embroidered-jacket-style-mens-sherwani-mstv04542-1.jpg,https://www.andaazfashion.co.uk/cream-beige-silk-blend-embroidered-jacket-style-mens-sherwani-mstv04542.html,https://www.andaazfashion.co.uk/men/weddingwear?p=114
16,Art Silk White Printed Straight Cut Men's Kurta Churidar,Men's Ethnic Wear,Printed,Churidar Suit,Casual,Summer,Male,Range,Silk,Printed,White & Off‑Whites,White,Traditional,22200,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/a/r/art-silk-white-printed-straight-cut-mens-kurta-churidar-mkpa06704-1.jpg,https://www.andaazfashion.co.uk/art-silk-white-printed-straight-cut-mens-kurta-churidar-mkpa06704.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=86
17,Charcoal Grey Georgette Embroidered Men Jacket Style Sherwani,Men's Ethnic Wear,Contemporary,Sherwani,Wedding/Formal,Winter,Male,Single Size,Synthetic,"Resham Work, Sequins Work, Thread Work",Black & Greys,Black,Traditional,89700,43.0,https://assets2.andaazfashion.com/media/catalog/product/p/d/pdn_3945gray.jpg,https://www.andaazfashion.co.uk/charcoal-grey-georgette-embroidered-men-jacket-style-sherwani-mstv02562.html,https://www.andaazfashion.co.uk/men/weddingwear?p=44
18,Light Pink Kurta Pajama for Men for Wedding & Party,Men's Ethnic Wear,Contemporary,Kurta Set,Wedding/Formal,Summer,Male,Single Size,Cotton,"Resham Work, Thread Work",Pinks,Brown,Traditional,20700,26.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/i/light-pink-party-wear-kurta-pajama-for-men-for-eid-mkpv0221.jpg,https://www.andaazfashion.co.uk/light-pink-party-wear-kurta-pajama-for-men-for-eid-mkpv0221.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=11
19,Black Dupion Silk Jacket Style Men's Kurta Churidar,Men's Ethnic Wear,Traditional,Jacket Style Outfit,Wedding/Formal,Winter,Male,Mixed Range,Silk,Plain Work,Black & Greys,Black,Traditional,32700,27.0,https://assets2.andaazfashion.com/media/catalog/product/s/h/shop-black-dupion-silk-jacket-style-mens-kurta-churidar-mkpa04664-1.jpg,https://www.andaazfashion.co.uk/shop-black-dupion-silk-jacket-style-mens-kurta-churidar-mkpa04664.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=28
20,Light Peach Silk Woven Zari Men Kurta Pajama,Men's Ethnic Wear,Contemporary,Kurta Set,Wedding/Formal,Summer,Male,Single Size,Silk,"Woven, Zari Work",Multi / Mixed & Others,Brown,Traditional,17700,43.0,https://assets2.andaazfashion.com/media/catalog/product/l/i/light-peach-silk-woven-zari-men-kurta-pajama-mkpa08451-1.jpg,https://www.andaazfashion.co.uk/light-peach-silk-woven-zari-men-kurta-pajama-mkpa08451.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=121
21,Navy Blue Straight Cut Party Wear Men Kurta Pajama in Art Silk,Men's Ethnic Wear,Traditional,Kurta Set,Wedding/Formal,Winter,Male,Single Size,Silk,Plain,Blues,Black,Traditional,41700,43.0,https://assets2.andaazfashion.com/media/catalog/product/n/a/navy-blue-art-silk-plain-kurta-with-churidar-mkpa0493-1.jpg,https://www.andaazfashion.co.uk/navy-blue-art-silk-plain-kurta-with-churidar-mkpa0493.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=56
22,Teal Green Khadi Silk Asymmetric Kurta With Churidar for Wedding & Party,Indian Cloth,Contemporary,Churidar Suit,Wedding/Formal,Spring,Male,Single Size,Silk,Asymmetric,Greens,Black,Traditional,43200,28.0,https://assets2.andaazfashion.com/media/catalog/product/t/e/teal-green-khadi-silk-asymmetric-kurta-with-churidar-mkpv0066-1.jpg,https://www.andaazfashion.co.uk/teal-green-khadi-silk-asymmetric-kurta-with-churidar-mkpv0066.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=2
23,Pale Pink Silk Blend Men's Sherwani with Embroidered for Wedding,Men's Ethnic Wear,Contemporary,Sherwani,Wedding/Formal,Summer,Male,Single Size,Silk,"Beads Work, Resham Work, Sequins Work, Stone Work, Thread Work",Pinks,Black,Traditional,113700,30.0,https://assets2.andaazfashion.com/media/catalog/product/p/a/pale-pink-silk-blend-mens-sherwani-with-embroidered-for-wedding-mstv04784-1.jpg,https://www.andaazfashion.co.uk/pale-pink-silk-blend-mens-sherwani-with-embroidered-for-wedding-mstv04784.html,https://www.andaazfashion.co.uk/men/sherwani?p=49
24,Dusty Peach Kurta Pajama with Resham Zari Sequins Jacket,Men's Ethnic Wear,Fancy,Nehru Jacket,Wedding/Formal,Summer,Male,Mixed Range,Silk,"Resham thread, zari, and sequins embroidered",Multi / Mixed & Others,Brown,Traditional,40200,72.0,https://assets2.andaazfashion.com/media/catalog/product/d/u/dusty-peach-art-silk-men-kurta-pajama-with-jacket-mkpa01935-1.jpg,https://www.andaazfashion.co.uk/dusty-peach-art-silk-men-kurta-pajama-with-jacket-mkpa01935.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=23
25,Maroon Dupion Silk Plain Men's Dhoti Kurta,Men's Ethnic Wear,Contemporary,Kurta with Dhoti,Wedding/Formal,Winter,Male,Mixed Range,Silk,Plain,Reds,Black,Traditional,20700,26.0,https://assets2.andaazfashion.com/media/catalog/product/m/a/maroon-dupion-silk-plain-mens-dhoti-kurta-mkpa01177-1.jpg,https://www.andaazfashion.co.uk/maroon-dupion-silk-plain-mens-dhoti-kurta-mkpa01177.html,https://www.andaazfashion.co.uk/men/sherwani?p=64
26,Embroidered Banarasi Silk Deep Red Men's Sherwani,Men's Ethnic Wear,Contemporary,Sherwani,Wedding/Formal,Winter,Male,Single Size,Silk,"Beads Work, Cutdana Work, Zardosi, Zari",Reds,Black,Traditional,67200,43.0,https://assets2.andaazfashion.com/media/catalog/product/e/m/embroidered-banarasi-silk-deep-red-mens-sherwani-mstv01261-1_3.jpg,https://www.andaazfashion.co.uk/embroidered-banarasi-silk-deep-red-mens-sherwani-mstv01261.html,https://www.andaazfashion.co.uk/men/sherwani?p=50
27,Powder Blue Silk Blend Embroidered Straight Cut Men's Sherwani,Men's Ethnic Wear,Fancy,Sherwani,Wedding/Formal,Winter,Male,Single Size,Silk,"Beads Work, Resham Work, Sequins Work, Stone Work, Thread Work",Blues,Black,Traditional,80700,27.0,https://assets2.andaazfashion.com/media/catalog/product/p/o/powder-blue-silk-blend-embroidered-straight-cut-mens-sherwani-mstv04501-1.jpg,https://www.andaazfashion.co.uk/powder-blue-silk-blend-embroidered-straight-cut-mens-sherwani-mstv04501.html,https://www.andaazfashion.co.uk/men/weddingwear?p=114
28,White Dupion Silk Men's Kurta With Embroidered Jacket,Men's Ethnic Wear,Traditional,Nehru Jacket,Wedding/Formal,Summer,Male,Range,Silk,Resham thread work,White & Off‑Whites,Black,Traditional,34200,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/w/h/white-dupion-silk-mens-kurta-with-embroidered-jacket-mkv00514-1.jpg,https://www.andaazfashion.co.uk/white-dupion-silk-mens-kurta-with-embroidered-jacket-mkv00514.html,https://www.andaazfashion.co.uk/men/weddingwear?p=100
29,Printed Cotton Light Purple Men's Kurta Pajama,Men's Ethnic Wear,Traditional,Kurta Set,Wedding/Formal,Summer,Male,Mixed Range,Cotton,Printed,Purples & Mauves,Brown,Traditional,29700,24.0,https://assets2.andaazfashion.com/media/catalog/product/p/r/printed-cotton-light-purple-mens-kurta-pajama-mkpa060-1.jpg,https://www.andaazfashion.co.uk/printed-cotton-light-purple-mens-kurta-pajama-mkpa060.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=53
30,Beige Dupion Silk Men's Jacket Style Kurta Pajama With Lace,Men's Ethnic Wear,Fancy,Jacket Style Outfit,Wedding/Formal,Winter,Male,Range,Silk,Lace Work,White & Off‑Whites,Beige,Traditional,49200,15.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/e/beige-dupion-silk-mens-jacket-style-kurta-pajama-with-lace-mkpa06967-1.jpg,https://www.andaazfashion.co.uk/beige-dupion-silk-mens-jacket-style-kurta-pajama-with-lace-mkpa06967.html,https://www.andaazfashion.co.uk/men/weddingwear?p=22
31,Printed Art Silk Brick Red Straight Cut Men's Sherwani,Men's Ethnic Wear,Contemporary,Sherwani,Wedding/Formal,Winter,Male,Range,Silk,"Resham Work, Sequins Work, Thread Work, Weaved Thread Work, Printed",Reds,Black,Traditional,46200,43.0,https://assets2.andaazfashion.com/media/catalog/product/p/r/printed-art-silk-brick-red-straight-cut-mens-sherwani-mstv03481-1.jpg,https://www.andaazfashion.co.uk/printed-art-silk-brick-red-straight-cut-mens-sherwani-mstv03481.html,https://www.andaazfashion.co.uk/men/sherwani?p=44
32,Dupion Silk Red Men's Sherwani,Men's Ethnic Wear,Contemporary,Sherwani,Wedding/Formal,Winter,Male,Single Size,Silk,Plain,Reds,Black,Traditional,31200,72.0,https://assets2.andaazfashion.com/media/catalog/product/d/u/dupion-silk-red-mens-sherwani-mstv01117-1.jpg,https://www.andaazfashion.co.uk/dupion-silk-red-mens-sherwani-mstv01117.html,https://www.andaazfashion.co.uk/men/sherwani?p=49
33,Embroidered Dupion Silk Teal Blue Men Kurta Pajama,Men's Ethnic Wear,Contemporary,Kurta Set,Wedding/Formal,Spring,Male,Single Size,Silk,"Resham Work, Thread Work",Blues,Black,Traditional,41700,26.0,https://assets2.andaazfashion.com/media/catalog/product/e/m/embroidered-dupion-silk-teal-blue-men-kurta-pajama-mkpa02758-1.jpg,https://www.andaazfashion.co.uk/embroidered-dupion-silk-teal-blue-men-kurta-pajama-mkpa02758.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=28
34,Light Yellow Poly Silk Churidar Men Kurta Pajama,Men's Ethnic Wear,Traditional,Churidar Suit,Wedding/Formal,Summer,Male,Mixed Range,Silk,Digital Print,Yellows,Yellow,Traditional,29700,24.0,https://assets2.andaazfashion.com/media/catalog/product/l/i/light-yellow-poly-silk-churidar-men-kurta-pajama-mkpa01077-1_7.jpg,https://www.andaazfashion.co.uk/light-yellow-poly-silk-churidar-men-kurta-pajama-mkpa01077.html,https://www.andaazfashion.co.uk/men/weddingwear?p=74
35,Teal Blue Silk Kurta Pajama Combo for Father & Son Festive Wear,Men's Ethnic Wear,Contemporary,Kurta Set,Wedding/Formal,Spring,Male,Multi Size,Silk,"Resham Work, Thread Work, Woven, Zari Work",Blues,Matching Teal Blue,Traditional Mojari or Juttis,35700,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/t/e/teal-blue-silk-kurta-pajama-combo-for-father-son-festive-wear-mkpa08906-1.jpg,https://www.andaazfashion.co.uk/teal-blue-silk-kurta-pajama-combo-for-father-son-festive-wear-mkpa08906.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=89
36,Silk Embroidered Light Grey Straight Cut Men's Kurta Pajama,Men's Ethnic Wear,Contemporary,Kurta Set,Casual,Summer,Male,Single Size,Silk,"Resham Work, Thread Work",Black & Greys,Black,Traditional,28200,16.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/i/silk-embroidered-light-grey-straight-cut-mens-kurta-pajama-mkpa08097-1.jpg,https://www.andaazfashion.co.uk/silk-embroidered-light-grey-straight-cut-mens-kurta-pajama-mkpa08097.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=90
37,Mustard Yellow Dupion Silk Embroidered Straight Cut Men's Kurta Pajama,Men's Ethnic Wear,Traditional,Kurta Set,Wedding/Formal,Summer,Male,Single Size,Silk,"Mirror Work, Resham Work, Thread Work, Weaved Thread Work, Zari Work",Yellows,Brown,Traditional Sandals,17700,24.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/u/mustard-yellow-dupion-silk-embroidered-straight-cut-mens-kurta-pajama-mkpa08280-1.jpg,https://www.andaazfashion.co.uk/mustard-yellow-dupion-silk-embroidered-straight-cut-mens-kurta-pajama-mkpa08280.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=44
38,Dupion Silk Plum Purple Embroidered Men's Kurta,Men's Ethnic Wear,Traditional,Kurta,Wedding/Formal,Summer,Male,Single Size,Silk,"Dori Work, Sequins Work",Purples & Mauves,Black,Traditional,23700,72.0,https://assets2.andaazfashion.com/media/catalog/product/d/u/dupion-silk-plum-purple-embroidered-mens-kurta-mkv00361-1.jpg,https://www.andaazfashion.co.uk/dupion-silk-plum-purple-embroidered-mens-kurta-mkv00361.html,https://www.andaazfashion.co.uk/men/weddingwear?p=39
39,Jacquard Dupion Silk Light Beige Men Sherwani,Men's Ethnic Wear,Contemporary,Sherwani,Wedding/Formal,Summer,Male,Single Size,Silk,"Sequins, Woven, Zari",White & Off‑Whites,Brown,Traditional,75600,27.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/j/a/jacquard-dupion-silk-light-beige-men-sherwani-mstv01930-1.jpg,https://www.andaazfashion.co.uk/jacquard-dupion-silk-light-beige-men-sherwani-mstv01930.html,https://www.andaazfashion.co.uk/men/sherwani?p=31
40,Angrakha Style Sherwani In Dark Green Colour,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Winter,Male,Single Size,Silk,Zari and Stone Work,Greens,Black,Traditional,82200,27.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/s/mstv00167-green.jpg,https://www.andaazfashion.co.uk/angrakha-style-sherwani-in-dark-green-colour-mstv00167.html,https://www.andaazfashion.co.uk/men/weddingwear?p=25
41,Dusty Green Straight Cut Cotton Casual Wear Men's Kurta Pajama,Men's Ethnic Wear,Traditional,Kurta Set,Casual,Summer,Male,Single Size,Cotton,Plain Work,Greens,Brown,Traditional,23700,16.0,https://assets2.andaazfashion.com/media/catalog/product/d/u/dusty-green-straight-cut-cotton-casual-wear-mens-kurta-pajama-mkpa06922-1.jpg,https://www.andaazfashion.co.uk/dusty-green-straight-cut-cotton-casual-wear-mens-kurta-pajama-mkpa06922.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=82
42,Black Dupion Silk Kurta Churidar with Plain Waistcoat,Indian Cloth,Fancy,Waistcoat,Casual,Summer,Male,Range,Silk,Plain Work,Black & Greys,Black,Traditional,37200,22.0,https://assets2.andaazfashion.com/media/catalog/product/b/l/black-plain-dupion-silk-jacket-style-mens-kurta-churidar-mkpa07863-1.jpg,https://www.andaazfashion.co.uk/black-plain-dupion-silk-jacket-style-mens-kurta-churidar-mkpa07863.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=58
43,Off White Silk Blend Embroidered Straight Cut Men's Sherwani,Men's Ethnic Wear,Contemporary,Sherwani,Wedding/Formal,Summer,Male,Single Size,Silk,"Beads Work, Cutdana Work, Sequins Work, Stone Work, Thread Work, Woven",White & Off‑Whites,Black,Traditional,110700,43.0,https://assets2.andaazfashion.com/media/catalog/product/o/f/off-white-silk-blend-embroidered-straight-cut-mens-sherwani-mstv04548-1.jpg,https://www.andaazfashion.co.uk/off-white-silk-blend-embroidered-straight-cut-mens-sherwani-mstv04548.html,https://www.andaazfashion.co.uk/men/sherwani?p=46
44,Silver Dupion Silk Straight Cut Men's Kurta And Churidar,Men's Ethnic Wear,Traditional,Churidar Suit,Wedding/Formal,Spring,Male,Range,Silk,Silver,Golds & Metallics,Brown,Traditional,26700,27.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/i/silver-dupion-silk-straight-cut-mens-kurta-and-churidar-mkpa01503-1.jpg,https://www.andaazfashion.co.uk/silver-dupion-silk-straight-cut-mens-kurta-and-churidar-mkpa01503.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=30
45,Navy Blue Silk Embroidered Father-Son Duo Kurta With Churidar,Indian Cloth,Contemporary,Churidar Suit,Wedding/Formal,Winter,Male,Multi Size,Silk,"Resham Work, Thread Work, Woven, Zari",Blues,Black,Traditional,29700,43.0,https://assets2.andaazfashion.com/media/catalog/product/n/a/navy-blue-silk-embroidered-father-son-duo-kurta-with-churidar-mkpa02230-1.jpg,https://www.andaazfashion.co.uk/navy-blue-silk-embroidered-father-son-duo-kurta-with-churidar-mkpa02230.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=29
46,Dark Green Silk Embroidered Men Sherwani,Men's Ethnic Wear,Contemporary,Sherwani,Wedding/Formal,Winter,Male,Single Size,Silk,"Resham Work, Sequins, Thread Work",Greens,Black,Traditional,64200,28.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/s/mstv01212-green.jpg,https://www.andaazfashion.co.uk/dark-green-silk-embroidered-men-sherwani-mstv01212.html,https://www.andaazfashion.co.uk/men/sherwani?p=40
47,Peacock Blue Georgette Men Sherwani,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Winter,Male,Single Size,Synthetic,"Resham Work, Sequins, Thread Work",Blues,Black,Traditional,47700,26.0,https://assets2.andaazfashion.com/media/catalog/product/p/e/peacock-blue-georgette-men-sherwani-mstv02153-1.jpg,https://www.andaazfashion.co.uk/peacock-blue-georgette-men-sherwani-mstv02153.html,https://www.andaazfashion.co.uk/men/sherwani?p=40
48,Mauve Pink Linen Churidar Men Kurta,Men's Ethnic Wear,Traditional,Churidar Suit,Party/Festive,Summer,Male,Single Size,Cotton,Plain,Purples & Mauves,Black,Traditional,29700,43.0,https://assets2.andaazfashion.com/media/catalog/product/m/a/mauve-pink-linen-churidar-men-kurta-mkpa0443-1.jpg,https://www.andaazfashion.co.uk/mauve-pink-linen-churidar-men-kurta-mkpa0443.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=85
49,Black Jacquard Blazer Suit with Sequins & Thread Work,Men's Ethnic Wear,Fancy,Blazer Suit,Wedding/Formal,Winter,Male,Range,Synthetic,"Sequins Work, Thread Work, Woven",Black & Greys,Black,Formal Shoes,101700,20.0,https://assets2.andaazfashion.com/media/catalog/product/b/l/black-jacquard-blazer-suit-with-sequins-thread-work-mstv04719-1.jpg,https://www.andaazfashion.co.uk/black-jacquard-blazer-suit-with-sequins-thread-work-mstv04719.html,https://www.andaazfashion.co.uk/men/sherwani?p=45
51,Art Silk Burgundy Maroon Men's Jacket Style Kurta Pajama With Lace,Men's Ethnic Wear,Fancy,Jacket Style Outfit,Wedding/Formal,Winter,Male,Range,Silk,Lace Work,Reds,Maroon-Burgundy,Traditional,41700,43.0,https://assets2.andaazfashion.com/media/catalog/product/a/r/art-silk-burgundy-maroon-mens-jacket-style-kurta-pajama-with-lace-mkpa06956-1.jpg,https://www.andaazfashion.co.uk/art-silk-burgundy-maroon-mens-jacket-style-kurta-pajama-with-lace-mkpa06956.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=18
